#  Iter.   M_avg.    U_Bind.    Susc.
    1081  0.003126  0.468260  0.002293
    1091  0.003146  0.468396  0.002288
    1101  0.003161  0.468775  0.002282
    1111  0.003209  0.469043  0.002281
    1121  0.003223  0.469513  0.002279
    1131  0.003209  0.469879  0.002275
    1141  0.003229  0.470426  0.002272
    1151  0.003217  0.470888  0.002267
    1161  0.003187  0.471093  0.002264
    1171  0.003201  0.471453  0.002260
    1181  0.003204  0.471885  0.002255
    1191  0.003222  0.472444  0.002250
