#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.142360 -0.082192 -0.136596        1    8.82897815E-07  1.52203622E-08  1.46397855E-07  8.95082422E-07
      2 -0.134451 -0.082192 -0.136596        1    1.86232305E-07  1.60986499E-06  1.10145448E-06  1.95947691E-06
      3 -0.126543 -0.082192 -0.136596        1    2.43758037E-07  5.91373382E-07  5.03724817E-07  8.14173906E-07
      4 -0.118634 -0.082192 -0.136596        1    1.27724784E-06  9.80080147E-07  1.02527486E-07  1.61320520E-06
      5 -0.110725 -0.082192 -0.136596        1    8.75253362E-08  5.75155325E-08  2.11417985E-07  2.35937037E-07
      6 -0.102816 -0.082192 -0.136596        1    1.75326712E-07  9.12276283E-07  2.28151711E-07  9.56577585E-07
      7 -0.094907 -0.082192 -0.136596        1    1.71427850E-07  1.14753312E-06  2.07155600E-07  1.17861496E-06
      8 -0.086998 -0.082192 -0.136596        1    2.72336664E-07  5.08538652E-07  9.75747187E-08  5.85063796E-07
      9 -0.079089 -0.082192 -0.136596        1    7.86640457E-07  8.49975885E-08  9.02036983E-07  1.19987438E-06
     10 -0.071180 -0.082192 -0.136596        1    8.32381406E-07  2.96218936E-07  4.34079129E-07  9.84392784E-07
     11 -0.063271 -0.082192 -0.136596        1    6.89541662E-07  6.81704274E-07  1.52857520E-07  9.81607784E-07
     12 -0.055362 -0.082192 -0.136596        1    7.79810867E-07  1.26366113E-07  4.73727969E-07  9.21136023E-07
     13 -0.047453 -0.082192 -0.136596        1    3.61170539E-07  1.59609334E-06  3.84078095E-07  1.68091466E-06
     14 -0.039545 -0.082192 -0.136596        1    1.45666288E-07  9.84218746E-08  1.20067785E-06  1.21347963E-06
     15 -0.031636 -0.082192 -0.136596        1    4.80515442E-07  4.84252470E-07  1.72651452E-07  7.03707374E-07
     16 -0.023727 -0.082192 -0.136596        1    9.14506281E-07  9.42601791E-07  4.92841521E-07  1.40275181E-06
     17 -0.015818 -0.082192 -0.136596        1    6.53080537E-08  2.38579318E-07  4.39880157E-08  2.51237295E-07
     18 -0.007909 -0.082192 -0.136596        1    1.66873932E-06  2.96160347E-07  6.14986277E-07  1.80294481E-06
     19  0.000000 -0.082192 -0.136596        1    8.65193070E-09  7.45137732E-10  2.00148509E-08  2.18175478E-08
     20  0.007909 -0.082192 -0.136596        1    2.02227545E-07  1.15130149E-06  3.19654883E-07  1.21184584E-06
     21  0.015818 -0.082192 -0.136596        1    6.56841178E-08  2.41811150E-07  2.38552225E-07  3.45968495E-07
     22  0.023727 -0.082192 -0.136596        1    6.89261333E-07  3.67157727E-07  7.70622709E-07  1.09715329E-06
     23  0.031636 -0.082192 -0.136596        1    1.49091718E-07  4.11672952E-07  5.55848331E-08  4.41353185E-07
     24  0.039545 -0.082192 -0.136596        1    1.01139156E-07  1.10594517E-06  6.71931294E-07  1.29801214E-06
     25  0.047453 -0.082192 -0.136596        1    2.31422356E-07  1.23773388E-06  1.99708627E-07  1.27492157E-06
     26 -0.138406 -0.075342 -0.136596        1    5.04137166E-06  1.74708001E-06  4.65772581E-08  5.33571797E-06
     27 -0.130497 -0.075342 -0.136596        1    2.25904585E-07  3.34876557E-07  4.65780569E-07  6.16544182E-07
     28 -0.122588 -0.075342 -0.136596        1    2.22263619E-07  3.56077949E-07  7.51143615E-08  4.26420906E-07
     29 -0.114679 -0.075342 -0.136596        1    4.68134376E-07  2.55721134E-08  2.57841946E-07  5.35057189E-07
     30 -0.106770 -0.075342 -0.136596        1    8.00613445E-07  1.05170337E-06  1.23476787E-07  1.32751964E-06
     31 -0.098861 -0.075342 -0.136596        1    1.10677967E-07  4.71114858E-07  7.86579168E-07  9.23528889E-07
     32 -0.090952 -0.075342 -0.136596        1    2.21120205E-07  3.45059004E-07  3.70386043E-07  5.52399930E-07
     33 -0.083044 -0.075342 -0.136596        1    3.54947856E-07  4.91029095E-07  9.87241993E-07  1.15833687E-06
     34 -0.075135 -0.075342 -0.136596        1    1.31403569E-07  2.16689837E-07  1.89885139E-07  3.16666622E-07
     35 -0.067226 -0.075342 -0.136596        1    2.69632865E-07  1.05917859E-06  2.40171652E-07  1.11903691E-06
     36 -0.059317 -0.075342 -0.136596        1    7.02869198E-08  9.60591187E-08  1.30633486E-06  1.31174631E-06
     37 -0.051408 -0.075342 -0.136596        1    3.80955298E-07  2.04774652E-07  2.43886431E-07  4.96528135E-07
     38 -0.043499 -0.075342 -0.136596        1    7.99810644E-07  1.99618139E-07  2.48505203E-07  8.60987400E-07
     39 -0.035590 -0.075342 -0.136596        1    4.23994165E-08  3.09696991E-07  1.42763662E-07  3.43644293E-07
     40 -0.027681 -0.075342 -0.136596        1    6.68514414E-07  2.60512293E-07  5.80181494E-08  7.19822396E-07
     41 -0.019772 -0.075342 -0.136596        1    4.57959456E-08  3.00794932E-07  8.56214298E-07  9.08668137E-07
     42 -0.011863 -0.075342 -0.136596        1    6.59887787E-07  5.72272846E-07  2.06561895E-06  2.24270590E-06
     43 -0.003954 -0.075342 -0.136596        1    2.09348852E-06  1.58163934E-06  1.18392488E-07  2.62646035E-06
     44  0.003954 -0.075342 -0.136596        1    3.05011673E-07  1.41344783E-06  4.55689311E-07  1.51608695E-06
     45  0.011863 -0.075342 -0.136596        1    6.73245862E-07  1.36639053E-06  1.18575172E-06  1.93036013E-06
     46  0.019772 -0.075342 -0.136596        1    9.81751835E-07  1.70381588E-07  7.10143603E-07  1.22358918E-06
     47  0.027681 -0.075342 -0.136596        1    1.58606716E-06  1.72678827E-06  5.49271496E-07  2.40813329E-06
     48  0.035590 -0.075342 -0.136596        1    5.97654328E-07  2.19589400E-07  6.35746519E-07  8.99768769E-07
     49  0.043499 -0.075342 -0.136596        1    1.10515945E-06  5.09345707E-07  8.29804658E-07  1.47288364E-06
     50  0.051408 -0.075342 -0.136596        1    1.51486965E-07  1.11760259E-07  2.52827338E-07  3.15214719E-07
     51 -0.134451 -0.068493 -0.136596        1    1.40508477E-06  5.56117863E-07  4.40781057E-07  1.57410871E-06
     52 -0.126543 -0.068493 -0.136596        1    1.29592076E-07  1.10628520E-07  3.73588917E-07  4.10611075E-07
     53 -0.118634 -0.068493 -0.136596        1    1.20366861E-06  8.60411247E-07  5.96234818E-07  1.59518701E-06
     54 -0.110725 -0.068493 -0.136596        1    4.32631027E-08  1.89212593E-06  4.84111795E-07  1.95355483E-06
     55 -0.102816 -0.068493 -0.136596        1    1.29987707E-07  2.14765884E-07  8.38186009E-07  8.74972557E-07
     56 -0.094907 -0.068493 -0.136596        1    8.53058290E-08  1.06356646E-07  2.61596384E-07  2.94994048E-07
     57 -0.086998 -0.068493 -0.136596        1    3.40605218E-07  5.20918709E-07  9.79385904E-07  1.16041586E-06
     58 -0.079089 -0.068493 -0.136596        1    1.69267434E-06  6.81852834E-07  1.48071862E-06  2.35002071E-06
     59 -0.071180 -0.068493 -0.136596        1    1.82505010E-06  1.88137424E-07  5.30078432E-09  1.83472931E-06
     60 -0.063271 -0.068493 -0.136596        1    1.50931663E-07  8.15182329E-07  9.89498833E-07  1.29089525E-06
     61 -0.055362 -0.068493 -0.136596        1    3.42358416E-07  1.01197312E-06  2.55850837E-07  1.09852561E-06
     62 -0.047453 -0.068493 -0.136596        1    3.68630366E-07  1.41065870E-06  8.37747902E-07  1.68156708E-06
     63 -0.039545 -0.068493 -0.136596        1    2.28501113E-07  1.47128369E-07  4.94374079E-07  5.64150021E-07
     64 -0.031636 -0.068493 -0.136596        1    2.06690863E-07  1.81842773E-06  4.13745874E-07  1.87632252E-06
     65 -0.023727 -0.068493 -0.136596        1    2.63369225E-07  2.38704156E-07  1.57426183E-06  1.61389074E-06
     66 -0.015818 -0.068493 -0.136596        1    4.17542519E-08  2.55551136E-07  7.92449177E-08  2.70794308E-07
     67 -0.007909 -0.068493 -0.136596        1    1.45392045E-07  5.13873619E-07  7.58730701E-09  5.34099719E-07
     68  0.000000 -0.068493 -0.136596        1    1.41752374E-06  1.63796793E-06  8.05526911E-07  2.31110062E-06
     69  0.007909 -0.068493 -0.136596        1    6.45761545E-07  1.86953422E-07  8.62277737E-07  1.09338120E-06
     70  0.015818 -0.068493 -0.136596        1    5.76961006E-08  1.68949023E-07  1.22678845E-07  2.16616508E-07
     71  0.023727 -0.068493 -0.136596        1    1.48298007E-06  5.69140387E-07  3.18138056E-07  1.61998842E-06
     72  0.031636 -0.068493 -0.136596        1    7.03456420E-08  1.88948127E-07  1.99826192E-07  2.83866890E-07
     73  0.039545 -0.068493 -0.136596        1    7.96030495E-07  2.89999339E-07  1.10081576E-07  8.54331387E-07
     74  0.047453 -0.068493 -0.136596        1    7.64076202E-07  9.25542286E-07  6.34794686E-08  1.20186131E-06
     75  0.055362 -0.068493 -0.136596        1    6.99250866E-07  1.21240445E-06  5.70658572E-07  1.51146536E-06
     76 -0.130497 -0.061644 -0.136596        1    2.12142394E-07  1.00377422E-06  5.84505438E-07  1.18076826E-06
     77 -0.122588 -0.061644 -0.136596        1    1.31949493E-10  1.30856970E-06  7.47569094E-07  1.50705482E-06
     78 -0.114679 -0.061644 -0.136596        1    3.85569644E-07  4.79859936E-07  3.59236024E-07  7.12727178E-07
     79 -0.106770 -0.061644 -0.136596        1    9.91686867E-09  1.77370264E-08  3.66932181E-09  2.06497049E-08
     80 -0.098861 -0.061644 -0.136596        1    9.73784229E-08  9.15931621E-08  2.25941804E-07  2.62529167E-07
     81 -0.090952 -0.061644 -0.136596        1    8.47354877E-11  1.07238987E-06  1.98084319E-07  1.09053080E-06
     82 -0.083044 -0.061644 -0.136596        1    4.91021270E-08  1.01973329E-07  6.51182000E-07  6.60944458E-07
     83 -0.075135 -0.061644 -0.136596        1    1.47178620E-07  1.76616727E-06  3.45105815E-08  1.77262499E-06
     84 -0.067226 -0.061644 -0.136596        1    1.19504804E-07  1.30997819E-07  8.76533840E-07  8.94289326E-07
     85 -0.059317 -0.061644 -0.136596        1    6.18624915E-07  1.92557035E-06  1.10590036E-06  2.30511032E-06
     86 -0.051408 -0.061644 -0.136596        1    2.42994104E-07  4.40389052E-07  8.07954840E-07  9.51724580E-07
     87 -0.043499 -0.061644 -0.136596        1    7.87726025E-08  5.82154248E-07  9.98336738E-07  1.15835441E-06
     88 -0.035590 -0.061644 -0.136596        1    3.32694366E-07  1.37924364E-07  1.04619118E-07  3.75038439E-07
     89 -0.027681 -0.061644 -0.136596        1    3.18186279E-06  8.20201321E-07  1.41116574E-06  3.57608302E-06
     90 -0.019772 -0.061644 -0.136596        1    4.12265434E-07  6.30373503E-07  1.49910013E-06  1.67768732E-06
     91 -0.011863 -0.061644 -0.136596        1    1.12569453E-07  7.91981231E-07  2.63426445E-07  8.42199290E-07
     92 -0.003954 -0.061644 -0.136596        1    1.09529246E-06  3.55812028E-07  1.56169563E-07  1.16217757E-06
     93  0.003954 -0.061644 -0.136596        1    1.71569670E-07  1.74614271E-06  3.01487075E-07  1.78026542E-06
     94  0.011863 -0.061644 -0.136596        1    9.56699571E-08  8.76165797E-07  9.27787192E-07  1.27969071E-06
     95  0.019772 -0.061644 -0.136596        1    2.61947387E-07  5.51564257E-07  9.82264903E-08  6.18456147E-07
     96  0.027681 -0.061644 -0.136596        1    1.63633392E-07  5.17959015E-07  3.11436236E-07  6.26138928E-07
     97  0.035590 -0.061644 -0.136596        1    9.67670473E-08  2.34431847E-06  1.31148544E-06  2.68797079E-06
     98  0.043499 -0.061644 -0.136596        1    3.23387996E-07  9.20986170E-07  9.23789728E-08  9.80473965E-07
     99  0.051408 -0.061644 -0.136596        1    2.94739351E-07  6.97291119E-08  1.85112961E-07  3.54965128E-07
    100  0.059317 -0.061644 -0.136596        1    1.30395700E-07  1.49249710E-06  2.99807125E-07  1.52788577E-06
    101 -0.126543 -0.054795 -0.136596        1    1.47103554E-06  6.70284216E-08  4.87781685E-07  1.55124767E-06
    102 -0.118634 -0.054795 -0.136596        1    1.57860038E-07  1.71300912E-07  3.26772567E-07  4.01303009E-07
    103 -0.110725 -0.054795 -0.136596        1    1.77499933E-07  6.72188306E-08  1.23483142E-06  1.24933312E-06
    104 -0.102816 -0.054795 -0.136596        1    3.67304824E-07  1.05592689E-06  1.23852318E-06  1.66848257E-06
    105 -0.094907 -0.054795 -0.136596        1    1.60987465E-06  3.13068992E-07  1.08013333E-07  1.64358616E-06
    106 -0.086998 -0.054795 -0.136596        1    1.81763233E-07  1.49086467E-06  1.10631296E-07  1.50597298E-06
    107 -0.079089 -0.054795 -0.136596        1    8.83860489E-08  2.31921566E-07  1.00892085E-07  2.67915881E-07
    108 -0.071180 -0.054795 -0.136596        1    1.85046402E-07  2.56705019E-07  1.03783129E-06  1.08500388E-06
    109 -0.063271 -0.054795 -0.136596        1    4.95830433E-07  3.46665931E-08  5.81266949E-07  7.64801188E-07
    110 -0.055362 -0.054795 -0.136596        1    1.59865562E-07  4.82955440E-08  9.38889995E-08  1.91584451E-07
    111 -0.047453 -0.054795 -0.136596        1    6.89327052E-07  1.03821186E-08  1.50158383E-07  7.05568645E-07
    112 -0.039545 -0.054795 -0.136596        1    1.06945901E-06  1.71785688E-08  3.37927101E-07  1.12170959E-06
    113 -0.031636 -0.054795 -0.136596        1    7.66689155E-08  2.54352037E-08  1.23953330E-06  1.24216258E-06
    114 -0.023727 -0.054795 -0.136596        1    5.65215077E-07  2.09037287E-07  9.37597093E-09  6.02704388E-07
    115 -0.015818 -0.054795 -0.136596        1    1.99446722E-07  9.69984971E-07  9.06090669E-07  1.34225562E-06
    116 -0.007909 -0.054795 -0.136596        1    9.69596437E-09  2.65067713E-07  1.49845760E-06  1.52175230E-06
    117  0.000000 -0.054795 -0.136596        1    1.22488264E-07  4.94334659E-08  1.53399711E-07  2.02431503E-07
    118  0.007909 -0.054795 -0.136596        1    9.52020341E-08  1.06505527E-09  7.17786715E-07  7.24073428E-07
    119  0.015818 -0.054795 -0.136596        1    4.53716169E-07  4.09800563E-08  3.03223496E-07  5.47249683E-07
    120  0.023727 -0.054795 -0.136596        1    1.30328758E-06  3.98144819E-07  7.16520812E-08  1.36462883E-06
    121  0.031636 -0.054795 -0.136596        1    1.72372588E-07  1.45081412E-07  8.63334586E-08  2.41276587E-07
    122  0.039545 -0.054795 -0.136596        1    2.67961965E-07  4.57114902E-08  2.36634768E-06  2.38190984E-06
    123  0.047453 -0.054795 -0.136596        1    5.79725872E-08  2.53816899E-07  2.47901306E-07  3.59498117E-07
    124  0.055362 -0.054795 -0.136596        1    3.99308376E-07  1.66032614E-06  7.05863933E-07  1.84780247E-06
    125  0.063271 -0.054795 -0.136596        1    8.11354224E-07  1.33015433E-06  9.65371490E-07  1.83290707E-06
    126 -0.122588 -0.047945 -0.136596        1    9.46337659E-07  6.33369597E-08  2.64689274E-07  9.84696373E-07
    127 -0.114679 -0.047945 -0.136596        1    7.50400840E-07  9.75920236E-07  4.70078284E-07  1.31776148E-06
    128 -0.106770 -0.047945 -0.136596        1    9.51536726E-07  1.96321557E-07  1.37377777E-06  1.68262582E-06
    129 -0.098861 -0.047945 -0.136596        1    9.83910844E-08  1.79312632E-08  9.06339075E-08  1.34969778E-07
    130 -0.090952 -0.047945 -0.136596        1    5.78903579E-07  1.35827555E-07  2.80633311E-07  6.57520747E-07
    131 -0.083044 -0.047945 -0.136596        1    6.37499980E-07  2.63602049E-07  4.98667806E-07  8.51211986E-07
    132 -0.075135 -0.047945 -0.136596        1    1.15953222E-06  1.92728813E-08  7.16991968E-08  1.16190670E-06
    133 -0.067226 -0.047945 -0.136596        1    3.77701200E-07  4.04372871E-08  7.16058256E-08  3.86549822E-07
