T[K],M[A/m],M^2,M^4,U_Binder,chi,C_v(tot),E,E_exc,E_lsf
20,1160762.1515272781,2.62223047,6.87609298,0.666666651,9.08178241e-05,1.07146737,-12.1969342,-12.1969342,0.0
40,1152764.5400310007,2.58622084,6.68853899,0.66666663,0.000105410547,1.03101353,-12.0692392,-12.0692392,0.0
60,1144332.380219765,2.54852466,6.49498311,0.666666403,0.000497827757,1.03450439,-11.9409203,-11.9409203,0.0
80,1136095.4237953024,2.51196828,6.30999328,0.666666212,0.000634009994,0.961009915,-11.8118578,-11.8118578,0.0
100,1128134.3770932353,2.47688648,6.13496963,0.666666504,0.000178664692,1.09274195,-11.6819371,-11.6819371,0.0
120,1119860.3612713865,2.44068773,5.95696177,0.666666378,0.000260224173,1.01321347,-11.5513931,-11.5513931,0.0
140,1111776.4379368254,2.40557811,5.78681408,0.666666202,0.000353990257,1.06215751,-11.4200301,-11.4200301,0.0
160,1102918.5036408827,2.36739927,5.60459399,0.666665793,0.000573992009,1.00444321,-11.2877473,-11.2877473,0.0
180,1094392.0179862808,2.3309368,5.4332805,0.666665798,0.000499209259,1.03868629,-11.1546364,-11.1546364,0.0
200,1085670.0637229132,2.29393091,5.26212997,0.666665973,0.000352951322,1.05591983,-11.0205927,-11.0205927,0.0
220,1076778.8189782947,2.2565119,5.09185705,0.666665939,0.000331141033,1.08551918,-10.8855566,-10.8855566,0.0
240,1067425.2851318931,2.21748124,4.91725035,0.666664815,0.000759211968,1.03630792,-10.7498302,-10.7498302,0.0
260,1057970.9740963522,2.17837615,4.74536581,0.666663634,0.00112822426,1.06543553,-10.6127877,-10.6127877,0.0
280,1048538.2105556937,2.13970498,4.5783794,0.666663608,0.00103726667,1.03107034,-10.4747009,-10.4747009,0.0
300,1039913.8221449027,2.10464972,4.42958084,0.666664379,0.000712591143,1.13059905,-10.3354817,-10.3354817,0.0
320,1029517.0770143275,2.06277847,4.25509813,0.666663289,0.000966105203,1.06584067,-10.1948398,-10.1948398,0.0
340,1019718.1996010401,2.0236984,4.09539542,0.666663396,0.000863896701,1.08377225,-10.0536223,-10.0536223,0.0
360,1010212.4068262292,1.98614512,3.94481598,0.666662987,0.000900732936,1.12965537,-9.9104157,-9.9104157,0.0
380,1000827.0176680317,1.94941405,3.8002735,0.666661545,0.00116692089,1.09167,-9.76598201,-9.76598201,0.0
400,990071.556207981,1.9077389,3.63951418,0.666662411,0.000901130654,1.10953891,-9.62023584,-9.62023584,0.0
420,977847.7971225987,1.86093142,3.46317622,0.666656035,0.00209297288,1.0946676,-9.472641,-9.472641,0.0
440,967365.0340483808,1.82124414,3.31702215,0.666657427,0.00169797613,1.18173157,-9.3239375,-9.3239375,0.0
460,957943.7467350367,1.78594009,3.18965508,0.666659029,0.00131709026,1.2259052,-9.17294675,-9.17294675,0.0
480,945368.0882422123,1.73936913,3.02555778,0.66664983,0.00271363668,1.26199706,-9.02041128,-9.02041128,0.0
500,933306.336785519,1.69528145,2.87421645,0.66663915,0.00415455833,1.28595269,-8.86611112,-8.86611112,0.0
520,924042.8063808151,1.66177402,2.76157935,0.66665623,0.00148071254,1.2810421,-8.70951017,-8.70951017,0.0
