T[K],M[A/m],U_Binder,chi,C_v(tot)
2,100.9695672846998,0.652283,0.000438,0.706795
5,66.92584592587626,0.59551,0.000404,0.721321
10,33.32889256388765,0.445532,0.000157,0.709296
50,90.87261055622983,0.484349,0.000204,0.53705
100,97.48477690938718,0.450856,0.00013,0.425501
150,116.78515437265723,0.431014,0.000134,0.427016
200,135.81747103782632,0.445906,0.000129,0.428251
250,151.18629012894877,0.456053,0.000127,0.458719
300,164.5893300339974,0.461996,0.00012,0.475327
400,186.92772987574517,0.448233,0.000124,0.668924
500,205.8706929415473,0.438074,0.000123,0.290293
600,216.7718320643202,0.453426,0.000107,0.165133
700,223.38399841747753,0.444707,9.9e-05,0.119127
