T[K],M[A/m]
0,1301030.94941495
10,1292600.9577178
20,1284263.49074677
40,1266081.70167758
60,1247905.48303139
80,1229808.08587072
100,1211132.0888725
120,1190784.74215581
140,1170518.81115021
160,1148768.60114615
180,1125416.99002106
200,1098532.22669648
220,1077245.84194281
240,1054758.64905967
260,1030571.97582187
280,1002466.04049285
300,974802.150060272
320,940728.588734806
340,917964.951673409
360,873710.121319941
380,837642.475882574
400,802142.989718493
420,748458.872773709
440,701192.578637997
460,647419.074706799
480,590605.566533201
500,491473.862754036
520,374724.902037811
525,311002.227915095
530,298618.069856168
535,168879.931522929
540,93414.2876559456
560,20634.3292599179
580,13723.8509987167
600,10998.8369885275
620,8934.85855101083
640,7826.21092155951
660,7113.04730653124
680,6557.50412620975
700,6222.25378010802
720,5643.31549957326
740,5540.59091513181
760,5231.39389897465
780,5002.25033105042
800,4840.86841250517
