Temp,Mavg,<M^2>,<M^4>,U_{Binder},\chi,C_v(tot),<E>,<E_{exc}>,<E_{lsf}>
10,1.86256192,3.46913716,12.0349161,0.666666571,0.00278754032,1.01239803,-8.57563715,-8.57563715,0
30,1.81300522,3.2869896,10.8043225,0.666665992,0.00622484547,0.908199881,-8.44829439,-8.44829439,0
50,1.76763501,3.12453642,9.762764,0.666665433,0.0064916689,1.05018535,-8.3201017,-8.3201017,0
70,1.72016957,2.958986,8.75562977,0.666665464,0.00428184095,1.05723452,-8.19104426,-8.19104426,0
90,1.67733976,2.81347174,7.91565797,0.666665204,0.00385085993,0.984763168,-8.06107342,-8.06107342,0
110,1.62922107,2.65437082,7.04578575,0.666661875,0.00973127582,0.95837755,-7.92990371,-7.92990371,0
130,1.5899293,2.52789272,6.39041889,0.666657418,0.0151532753,0.981410427,-7.79764532,-7.79764532,0
150,1.54285484,2.38041691,5.66653572,0.666657782,0.0118784667,1.06659565,-7.66403008,-7.66403008,0
170,1.50165992,2.25502452,5.08551259,0.666641954,0.0277444887,1.06617792,-7.52904084,-7.52904084,0
190,1.45765811,2.12479243,4.51495735,0.666650831,0.0149290599,1.03149148,-7.39239904,-7.39239904,0
210,1.40174775,1.96494122,3.86134357,0.666636487,0.0237764768,1.00512608,-7.25407279,-7.25407279,0
230,1.3556084,1.83772749,3.37763418,0.666627989,0.0260368767,1.12601443,-7.11392259,-7.11392259,0
250,1.31132341,1.71964762,2.95772641,0.666605971,0.0352746472,1.07912938,-6.97144217,-6.97144217,0
270,1.26961216,1.61197516,2.5988529,0.666616768,0.0249999717,1.03038854,-6.82664082,-6.82664082,0
290,1.22794419,1.50790895,2.27416339,0.666611841,0.0240067761,1.23710708,-6.67897038,-6.67897038,0
310,1.17578377,1.38253608,1.91178505,0.666600565,0.0248429278,1.27127081,-6.52770741,-6.52770741,0
330,1.11044567,1.23314668,1.5209326,0.666604879,0.0194249776,1.32624314,-6.3725552,-6.3725552,0
350,1.03813356,1.07791759,1.16276167,0.666421283,0.0629725083,1.32684309,-6.21212211,-6.21212211,0
370,0.973427922,0.947814687,0.899312525,0.666310517,0.0767000343,1.3861283,-6.04474228,-6.04474228,0
390,0.892228608,0.796393092,0.635268509,0.66612715,0.0924676881,1.45926373,-5.86823029,-5.86823029,0
410,0.758801027,0.576241126,0.333126986,0.665589381,0.126547604,1.51513223,-5.67637732,-5.67637732,0
430,0.441421349,0.201736958,0.0452518506,0.629366941,1.79745078,2.19964224,-5.45501427,-5.45501427,0
450,0.0669215869,0.00521106998,0.0000439226791,0.460844852,0.182773155,1.77603283,-5.22744693,-5.22744693,0
470,0.0456660899,0.00241985773,0.00000918470598,0.477165381,0.0798967581,1.44689326,-5.02611193,-5.02611193,0
490,0.0301570598,0.00105914268,0.0000017811569,0.470736454,0.0342992511,1.46556687,-4.83533591,-4.83533591,0
510,0.0235540213,0.000653220645,0.000000703058004,0.450775253,0.0216683961,1.45939035,-4.6532393,-4.6532393,0
530,0.0208399948,0.000508270732,0.000000424027376,0.452880194,0.0156685038,1.36185658,-4.47672537,-4.47672537,0
550,0.0173527268,0.000347633957,0.00000019168879,0.471273501,0.00949560223,1.27633561,-4.30783153,-4.30783153,0
570,0.01626976,0.000313376008,0.000000163233149,0.445941507,0.00958671391,1.28435672,-4.14474768,-4.14474768,0
590,0.014216302,0.000239511991,0.0000000974247587,0.433899469,0.00711862738,1.20489533,-3.98804862,-3.98804862,0
610,0.0131345978,0.00020174737,0.0000000679322163,0.443661947,0.00537984487,1.20122577,-3.83776783,-3.83776783,0
630,0.0125007133,0.00018354106,0.0000000557256141,0.448599521,0.00486038941,1.1063216,-3.69371692,-3.69371692,0
650,0.0116558883,0.000158106443,0.0000000397627173,0.469780541,0.00384262089,1.05643965,-3.55594075,-3.55594075,0
670,0.0107638954,0.000136732452,0.000000031173337,0.444199628,0.00349738724,0.921413452,-3.42464748,-3.42464748,0
